Price,Close,High,Low,Open,Volume,RSI,MA20,STD20,Upper_Band,Lower_Band,Target_Next_Day_Up
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,,,,,,
Date,,,,,,,,,,,
2014-09-17,457.3340148925781,468.17401123046875,452.4219970703125,465.864013671875,21056800,,,,,,0
2014-09-18,424.44000244140625,456.8599853515625,413.10400390625,456.8599853515625,34483200,0.0,,,,,0
2014-09-19,394.7959899902344,427.8349914550781,384.5320129394531,424.1029968261719,37919700,0.0,,,,,1
2014-09-20,408.90399169921875,423.2959899902344,389.88299560546875,394.6730041503906,36863600,3.2157752363374073,,,,,0
2014-09-21,398.8210144042969,412.4259948730469,393.1809997558594,408.0849914550781,26580100,3.1381038656402467,,,,,1
2014-09-22,402.1520080566406,406.9159851074219,397.1300048828125,399.1000061035156,24127600,3.963347147194199,,,,,1
2014-09-23,435.7909851074219,441.5570068359375,396.1969909667969,402.0920104980469,45099500,12.10730420387938,,,,,0
2014-09-24,423.2049865722656,436.11199951171875,421.1319885253906,435.7510070800781,30627700,11.707281981562872,,,,,0
2014-09-25,411.5740051269531,423.5199890136719,409.4679870605469,423.156005859375,26814400,11.334585181646332,,,,,0
2014-09-26,404.42498779296875,414.93798828125,400.0090026855469,411.4289855957031,21460800,11.100667342387652,,,,,0
2014-09-27,399.5199890136719,406.62298583984375,397.37200927734375,403.5559997558594,15029300,10.93393818164924,,,,,0
2014-09-28,377.1809997558594,401.0169982910156,374.3320007324219,399.47100830078125,23613300,10.183735059761133,,,,,0
2014-09-29,375.4670104980469,385.21099853515625,372.239990234375,376.9280090332031,32497700,10.126325607862213,,,,,1
2014-09-30,386.9440002441406,390.97698974609375,373.4429931640625,376.0880126953125,34707300,13.63714027728517,,,,,0
2014-10-01,383.614990234375,391.3789978027344,380.7799987792969,387.427001953125,26229400,13.47273978294642,,,,,0
2014-10-02,375.0719909667969,385.49700927734375,372.9460144042969,383.9880065917969,21777700,13.038347293688702,,,,,0
2014-10-03,359.5119934082031,377.69500732421875,357.8590087890625,375.1809997558594,30901200,12.262814136410583,,,,,0
2014-10-04,328.8659973144531,364.48699951171875,325.885986328125,359.8919982910156,47236500,10.889037236963858,,,,,0
2014-10-05,320.510009765625,341.8009948730469,289.2959899902344,328.9159851074219,83308096,10.542246138834287,,,,,1
