,Date,Close,High,Low,Open,Volume
0,2024-05-01 00:00:00+00:00,60205.0,60763.9296875,60028.41796875,60612.921875,0
1,2024-05-01 01:00:00+00:00,60046.0390625,60314.19921875,59842.71875,60183.35546875,252477440
2,2024-05-01 02:00:00+00:00,59856.140625,60091.3671875,59546.796875,60066.85546875,0
3,2024-05-01 03:00:00+00:00,60180.30859375,60197.79296875,59857.140625,59857.140625,162103296
4,2024-05-01 04:00:00+00:00,60200.47265625,60255.40625,60141.25390625,60169.0078125,147656704
5,2024-05-01 05:00:00+00:00,59940.43359375,60245.8515625,59905.1953125,60207.921875,999424
6,2024-05-01 06:00:00+00:00,59568.12890625,59966.22265625,59534.31640625,59946.0078125,414912512
7,2024-05-01 07:00:00+00:00,57405.6328125,59464.01953125,57068.4140625,59464.01953125,4782424064
8,2024-05-01 08:00:00+00:00,57030.30078125,57485.60546875,56564.9140625,57435.5078125,2024251392
9,2024-05-01 09:00:00+00:00,57111.60546875,57494.11328125,56989.9765625,57052.7578125,249409536
10,2024-05-01 10:00:00+00:00,57654.8203125,57654.8203125,56830.6640625,57073.015625,515887104
11,2024-05-01 11:00:00+00:00,57842.08984375,57842.08984375,57444.47265625,57701.38671875,0
12,2024-05-01 12:00:00+00:00,57908.48046875,58203.66015625,57696.2734375,57836.85546875,0
13,2024-05-01 13:00:00+00:00,57254.25390625,57932.8125,57254.25390625,57921.25390625,347557888
14,2024-05-01 14:00:00+00:00,57485.953125,57494.2890625,57080.1796875,57223.6953125,0
15,2024-05-01 15:00:00+00:00,56792.8203125,57423.109375,56671.84375,57423.109375,109387776
16,2024-05-01 16:00:00+00:00,57019.67578125,57321.0390625,56723.39453125,56811.08984375,0
17,2024-05-01 17:00:00+00:00,57455.9140625,57563.05859375,56715.828125,56974.08984375,0
18,2024-05-01 18:00:00+00:00,59071.359375,59368.5,57427.98828125,57438.0703125,3254931456
19,2024-05-01 19:00:00+00:00,56858.4375,59147.85546875,56858.4375,58859.73828125,757231616
20,2024-05-01 20:00:00+00:00,57369.96484375,57447.93359375,56708.796875,56968.37109375,0
21,2024-05-01 21:00:00+00:00,57859.609375,58045.9375,57209.828125,57304.26171875,417804288
22,2024-05-01 22:00:00+00:00,57824.15234375,58063.58203125,57807.7109375,57828.0625,0
23,2024-05-01 23:00:00+00:00,58254.01171875,58421.46484375,57750.81640625,57758.0859375,449490944
24,2024-05-02 00:00:00+00:00,57741.1640625,58498.87890625,57633.42578125,58267.6796875,623411200
25,2024-05-02 01:00:00+00:00,57038.55859375,57819.0859375,56947.76171875,57711.73046875,619028480
26,2024-05-02 02:00:00+00:00,57410.43359375,57533.3359375,57133.21484375,57161.0703125,0
27,2024-05-02 03:00:00+00:00,57453.26953125,57627.296875,57355.1640625,57409.54296875,925696
28,2024-05-02 04:00:00+00:00,57329.78515625,57570.62109375,57261.859375,57394.0078125,0
29,2024-05-02 05:00:00+00:00,57440.5078125,57464.43359375,57200.69140625,57327.97265625,88195072
30,2024-05-02 06:00:00+00:00,57592.5390625,57670.30078125,57378.9609375,57438.39453125,0
31,2024-05-02 07:00:00+00:00,57628.6328125,57843.8984375,57591.76953125,57591.76953125,0
32,2024-05-02 08:00:00+00:00,57810.32421875,57935.42578125,57629.18359375,57629.18359375,0
33,2024-05-02 09:00:00+00:00,57768.71875,57856.39453125,57648.4921875,57816.7421875,0
34,2024-05-02 10:00:00+00:00,57791.140625,57868.71484375,57588.890625,57778.734375,0
35,2024-05-02 11:00:00+00:00,58557.0078125,58609.75390625,57833.21875,57833.21875,1046921216
36,2024-05-02 12:00:00+00:00,58576.5546875,59065.203125,58460.578125,58549.765625,878399488
37,2024-05-02 13:00:00+00:00,58439.15625,58771.1171875,58256.19140625,58546.58984375,0
38,2024-05-02 14:00:00+00:00,59110.0078125,59274.38671875,58309.59765625,58441.8671875,652496896
39,2024-05-02 15:00:00+00:00,59241.515625,59405.015625,58987.53515625,59054.89453125,21831680
40,2024-05-02 16:00:00+00:00,59051.17578125,59259.609375,58982.40234375,59259.609375,0
