datetime,open,high,low,close,volume
2020-01-01 00:00:00,7195.24,7244.87,7175.46,7242.85,2050.024313
2020-01-01 03:00:00,7242.66,7245.0,7215.03,7224.21,1596.2080409999999
2020-01-01 06:00:00,7224.24,7236.27,7180.0,7200.64,2164.357851
2020-01-01 09:00:00,7200.29,7237.73,7185.2,7197.2,2251.108387
2020-01-01 12:00:00,7197.2,7234.97,7196.15,7221.43,2098.648667
2020-01-01 15:00:00,7221.6,7255.0,7214.0,7236.83,3345.032139
2020-01-01 18:00:00,7237.02,7246.72,7224.68,7236.73,1421.274118
2020-01-01 21:00:00,7237.26,7242.75,7175.15,7200.85,1865.734649
2020-01-02 00:00:00,7200.77,7212.5,7155.35,7169.02,2181.390402
2020-01-02 03:00:00,7169.04,7169.06,7116.7,7138.93,3379.921297
2020-01-02 06:00:00,7138.93,7157.48,7105.0,7154.36,3350.829616
2020-01-02 09:00:00,7153.57,7180.0,7135.36,7139.79,3047.3778819999998
2020-01-02 12:00:00,7139.73,7163.4,7107.43,7135.59,3316.612115
2020-01-02 15:00:00,7135.59,7152.0,6924.74,6970.04,10650.72941
2020-01-02 18:00:00,6970.04,6995.0,6941.27,6948.49,4049.374875
2020-01-02 21:00:00,6948.16,6985.0,6946.2,6965.71,1975.248335
2020-01-03 00:00:00,6965.49,6966.8,6871.04,6956.88,6379.30728
2020-01-03 03:00:00,6957.66,7264.71,6940.0,7220.47,14383.258170000001
2020-01-03 06:00:00,7220.49,7297.29,7185.04,7260.6,8237.170553
2020-01-03 09:00:00,7260.64,7371.92,7256.56,7340.46,11220.350512
2020-01-03 12:00:00,7340.46,7380.0,7229.3,7254.73,8207.334737000001
2020-01-03 15:00:00,7255.49,7405.0,7252.48,7355.26,10425.200789
2020-01-03 18:00:00,7355.23,7369.47,7280.0,7316.99,5227.547662
2020-01-03 21:00:00,7317.01,7346.08,7260.01,7344.96,4348.330748
2020-01-04 00:00:00,7345.0,7350.0,7280.85,7327.83,2930.009438
2020-01-04 03:00:00,7328.21,7369.28,7312.65,7344.69,2762.347387
2020-01-04 06:00:00,7344.7,7367.88,7327.32,7346.59,3793.721126
2020-01-04 09:00:00,7346.4,7369.63,7302.1,7336.45,4412.11684
2020-01-04 12:00:00,7336.75,7339.58,7291.0,7316.72,3554.782686
2020-01-04 15:00:00,7315.51,7352.0,7297.91,7351.99,3151.452838
2020-01-04 18:00:00,7351.36,7404.0,7272.21,7341.06,7510.817931
2020-01-04 21:00:00,7340.9,7367.31,7328.9,7354.11,1872.726731
2020-01-05 00:00:00,7354.19,7482.87,7354.11,7443.79,9865.22697
2020-01-05 03:00:00,7443.92,7495.0,7439.33,7459.12,4258.576661
2020-01-05 06:00:00,7458.51,7481.25,7410.0,7430.05,3650.430477
2020-01-05 09:00:00,7430.0,7440.0,7400.0,7422.33,4069.1989240000003
2020-01-05 12:00:00,7422.27,7460.46,7415.0,7431.82,3248.919907
2020-01-05 15:00:00,7431.71,7484.0,7430.99,7464.65,4508.626903
2020-01-05 18:00:00,7464.62,7468.87,7421.77,7431.6,2866.907647
2020-01-05 21:00:00,7431.01,7431.53,7318.0,7358.75,5863.198115
2020-01-06 00:00:00,7357.64,7562.0,7346.76,7551.44,8808.3523
2020-01-06 03:00:00,7551.47,7580.0,7486.85,7532.85,7797.408747
2020-01-06 06:00:00,7532.85,7551.68,7505.57,7547.55,3486.073562
2020-01-06 09:00:00,7547.88,7582.27,7516.51,7544.72,6136.469795
2020-01-06 12:00:00,7544.72,7622.0,7465.44,7547.93,7566.5000469999995
2020-01-06 15:00:00,7548.1,7561.0,7509.43,7558.48,4373.747816
2020-01-06 18:00:00,7558.78,7560.0,7524.0,7551.25,2752.562852
2020-01-06 21:00:00,7551.24,7795.34,7547.56,7758.0,13714.580197
2020-01-07 00:00:00,7758.9,8000.0,7758.29,7896.2,19157.908248
2020-01-07 03:00:00,7896.08,7916.94,7821.0,7869.33,6826.038614
2020-01-07 06:00:00,7869.29,7904.72,7851.26,7883.97,4826.12439
2020-01-07 09:00:00,7884.32,7965.0,7855.0,7895.14,6637.855985
2020-01-07 12:00:00,7895.13,7915.77,7810.73,7838.8,8523.437109
2020-01-07 15:00:00,7841.16,7952.05,7723.71,7938.33,14996.090363000001
2020-01-07 18:00:00,7937.88,8175.01,7919.22,8162.66,18015.743838000002
2020-01-07 21:00:00,8162.57,8207.68,7945.72,8145.28,12188.486114
2020-01-08 00:00:00,8145.92,8455.0,8142.0,8278.59,25522.819891
2020-01-08 03:00:00,8278.07,8377.0,8244.93,8334.77,9599.447952
2020-01-08 06:00:00,8334.76,8367.61,8264.86,8312.04,7028.813306
2020-01-08 09:00:00,8312.05,8370.0,8276.0,8332.47,6507.038973
2020-01-08 12:00:00,8332.2,8418.61,8184.0,8310.98,16438.664544
2020-01-08 15:00:00,8310.98,8359.0,8010.0,8077.68,24017.506178999996
2020-01-08 18:00:00,8077.68,8094.93,7870.0,8046.03,15597.067480000002
2020-01-08 21:00:00,8046.42,8125.57,7957.55,8055.98,7911.284315
2020-01-09 00:00:00,8054.72,8055.96,7928.0,7982.75,7510.0918870000005
2020-01-09 03:00:00,7983.09,7993.46,7925.68,7941.83,5938.366859
2020-01-09 06:00:00,7941.99,7976.67,7896.0,7933.1,6159.216845
2020-01-09 09:00:00,7932.51,7934.78,7852.01,7878.56,8244.597344
2020-01-09 12:00:00,7878.02,7945.0,7871.0,7885.5,6910.143201
2020-01-09 15:00:00,7885.5,7930.0,7778.0,7798.6,9931.904279
2020-01-09 18:00:00,7798.23,8000.0,7788.68,7818.3,11726.881899
2020-01-09 21:00:00,7819.97,7873.12,7750.0,7817.76,7818.317516000001
2020-01-10 00:00:00,7817.74,7854.06,7786.12,7803.68,3530.659973
2020-01-10 03:00:00,7803.68,7825.0,7735.0,7748.86,5232.475488
2020-01-10 06:00:00,7748.0,7786.13,7680.0,7706.53,8987.944574
2020-01-10 09:00:00,7706.52,7854.44,7672.0,7841.69,11981.743596
2020-01-10 12:00:00,7841.03,7982.85,7811.0,7978.65,12579.999865
2020-01-10 15:00:00,7978.65,8140.11,7909.98,7966.3,18900.873018
2020-01-10 18:00:00,7966.3,8122.0,7964.01,8073.16,13897.250909999999
2020-01-10 21:00:00,8074.0,8199.0,7981.59,8197.02,7295.830024
2020-01-11 00:00:00,8198.86,8253.26,8119.75,8206.19,8317.845430000001
2020-01-11 03:00:00,8206.0,8207.81,8044.65,8083.41,5443.422696
2020-01-11 06:00:00,8083.41,8150.0,8037.0,8052.96,6200.990137999999
2020-01-11 09:00:00,8052.96,8129.97,8010.0,8045.95,5257.1057120000005
2020-01-11 12:00:00,8045.89,8135.0,8018.41,8053.75,5759.8266490000005
2020-01-11 15:00:00,8054.0,8221.55,8053.08,8160.56,8633.398028
2020-01-11 18:00:00,8160.0,8189.49,8136.68,8161.81,4044.792617
2020-01-11 21:00:00,8161.81,8286.34,8003.16,8020.01,11152.651397
2020-01-12 00:00:00,8020.01,8108.0,7960.0,8095.0,6325.716928
2020-01-12 03:00:00,8095.0,8110.92,8065.62,8106.05,2671.976581
2020-01-12 06:00:00,8105.96,8153.84,8080.01,8140.59,4941.119726
2020-01-12 09:00:00,8138.71,8164.08,8095.72,8114.08,4037.901634
2020-01-12 12:00:00,8114.08,8185.0,8113.11,8137.17,5363.325191
2020-01-12 15:00:00,8137.64,8197.0,8072.0,8101.47,7476.182764
2020-01-12 18:00:00,8101.47,8160.42,8085.0,8138.74,3997.189069
2020-01-12 21:00:00,8138.76,8185.0,8091.22,8184.98,3318.0824430000002
2020-01-13 00:00:00,8184.97,8196.0,8109.7,8113.12,3562.6812600000003
2020-01-13 03:00:00,8112.97,8126.31,8077.65,8096.23,3619.205639
2020-01-13 06:00:00,8096.18,8134.6,8057.59,8129.99,5190.14905
2020-01-13 09:00:00,8131.03,8132.5,8075.0,8075.01,4611.076455
2020-01-13 12:00:00,8076.86,8114.48,8055.89,8090.0,4094.76966
2020-01-13 15:00:00,8090.0,8129.45,8071.12,8098.22,3509.218729
2020-01-13 18:00:00,8098.21,8160.0,8088.0,8156.84,3198.080038
2020-01-13 21:00:00,8155.79,8158.88,8101.0,8110.34,3374.574852
2020-01-14 00:00:00,8110.34,8488.11,8105.54,8431.14,20906.848805999998
2020-01-14 03:00:00,8431.17,8573.0,8378.0,8477.37,14458.324302
2020-01-14 06:00:00,8477.48,8542.43,8465.29,8511.79,6729.843417
2020-01-14 09:00:00,8511.87,8561.0,8470.0,8526.87,8293.682889
2020-01-14 12:00:00,8526.87,8740.0,8480.0,8690.0,21585.329424
2020-01-14 15:00:00,8689.99,8811.82,8520.0,8773.35,25732.986348
2020-01-14 18:00:00,8771.1,8850.0,8608.0,8688.19,14286.888996
2020-01-14 21:00:00,8688.18,8880.0,8666.22,8810.01,8405.22256
2020-01-15 00:00:00,8814.64,8900.0,8701.0,8813.83,15077.90504
2020-01-15 03:00:00,8813.99,8817.98,8564.0,8612.29,10967.713176000001
2020-01-15 06:00:00,8612.01,8693.72,8600.01,8638.36,5782.695667
2020-01-15 09:00:00,8638.6,8810.0,8638.24,8730.0,9711.65703
2020-01-15 12:00:00,8730.0,8916.48,8720.38,8856.17,14306.949466
2020-01-15 15:00:00,8855.69,8865.76,8676.08,8797.0,12073.028351
2020-01-15 18:00:00,8797.0,8842.1,8707.0,8814.21,7654.4775150000005
2020-01-15 21:00:00,8815.21,8876.4,8765.0,8821.41,9241.871361000001
2020-01-16 00:00:00,8820.01,8859.81,8608.53,8650.0,10098.174212000002
2020-01-16 03:00:00,8650.0,8730.0,8586.0,8700.55,6261.768416999999
2020-01-16 06:00:00,8700.66,8727.24,8654.69,8675.44,5981.365872
2020-01-16 09:00:00,8675.99,8725.0,8600.4,8724.91,7365.999228
2020-01-16 12:00:00,8724.82,8789.0,8640.35,8686.18,7397.429076
2020-01-16 15:00:00,8686.57,8725.0,8626.0,8678.13,5855.858614999999
2020-01-16 18:00:00,8678.13,8750.0,8657.37,8744.0,4256.900834
2020-01-16 21:00:00,8742.94,8757.0,8672.0,8720.01,4773.57803
2020-01-17 00:00:00,8720.15,8780.0,8672.44,8757.06,5228.680993
2020-01-17 03:00:00,8757.29,8896.89,8751.05,8891.25,9917.781882
2020-01-17 06:00:00,8891.25,8999.0,8835.75,8928.85,15566.224187
2020-01-17 09:00:00,8927.71,9041.65,8880.5,8903.45,11161.187941999999
2020-01-17 12:00:00,8903.53,8919.41,8765.0,8778.69,9561.638969
2020-01-17 15:00:00,8778.69,8923.88,8774.0,8890.97,7420.375232
2020-01-17 18:00:00,8890.04,8955.55,8813.0,8879.64,7496.753711
2020-01-17 21:00:00,8879.74,8961.6,8874.82,8913.28,4545.094461
2020-01-18 00:00:00,8913.27,8988.88,8855.55,8921.21,5736.027050000001
2020-01-18 03:00:00,8921.17,8948.57,8815.0,8845.19,6270.44806
2020-01-18 06:00:00,8845.53,8879.97,8806.38,8856.43,3128.745532
2020-01-18 09:00:00,8856.43,8919.0,8850.0,8879.79,4145.247071
2020-01-18 12:00:00,8879.29,8964.0,8876.76,8922.59,6305.975231
2020-01-18 15:00:00,8922.61,8950.0,8848.8,8904.96,6454.196041
2020-01-18 18:00:00,8904.92,8920.0,8875.0,8907.58,2853.9100209999997
2020-01-18 21:00:00,8907.58,8960.0,8899.0,8915.96,3400.197539
2020-01-19 00:00:00,8915.09,9180.22,8888.02,9156.54,13185.165877
2020-01-19 03:00:00,9156.61,9198.98,9112.0,9131.14,4849.621387
2020-01-19 06:00:00,9129.98,9147.56,9041.0,9103.17,5764.380712
2020-01-19 09:00:00,9103.16,9127.36,8524.2,8681.44,18856.380737
2020-01-19 12:00:00,8681.16,8684.76,8559.02,8617.1,8945.830064
2020-01-19 15:00:00,8617.1,8676.05,8593.18,8658.74,4723.018631
2020-01-19 18:00:00,8658.62,8661.68,8626.0,8647.63,2718.3491940000004
2020-01-19 21:00:00,8646.67,8758.84,8466.0,8701.7,11634.142657
2020-01-20 00:00:00,8701.72,8735.84,8627.94,8658.23,4937.279376
2020-01-20 03:00:00,8658.82,8689.93,8632.76,8674.21,2815.337189
2020-01-20 06:00:00,8675.2,8694.0,8595.0,8640.8,4304.505953
2020-01-20 09:00:00,8642.04,8673.0,8603.97,8615.25,4627.848442
2020-01-20 12:00:00,8615.71,8670.0,8521.28,8660.56,9481.508011
2020-01-20 15:00:00,8661.16,8709.31,8638.3,8641.8,4823.294566
2020-01-20 18:00:00,8641.79,8686.04,8640.15,8676.07,2532.3007079999998
2020-01-20 21:00:00,8676.08,8746.99,8616.0,8642.35,5374.565501
2020-01-21 00:00:00,8642.35,8678.0,8618.0,8665.66,2772.019762
2020-01-21 03:00:00,8665.75,8699.84,8643.58,8660.09,2372.3956829999997
2020-01-21 06:00:00,8660.37,8670.0,8613.8,8658.59,3589.924696
2020-01-21 09:00:00,8658.59,8677.12,8602.8,8656.76,4193.758001
2020-01-21 12:00:00,8656.76,8668.01,8634.62,8654.86,3046.152242
2020-01-21 15:00:00,8653.27,8676.95,8621.52,8648.5,3969.5523009999997
2020-01-21 18:00:00,8648.82,8720.0,8488.0,8718.71,10020.288333
2020-01-21 21:00:00,8719.98,8789.0,8682.76,8736.03,6530.596641
2020-01-22 00:00:00,8736.04,8758.08,8701.0,8719.67,2699.042137
2020-01-22 03:00:00,8719.52,8743.57,8708.02,8719.12,1610.876111
2020-01-22 06:00:00,8720.23,8818.0,8656.0,8678.69,7100.4819449999995
2020-01-22 09:00:00,8678.67,8688.99,8622.0,8659.87,4649.92712
2020-01-22 12:00:00,8659.0,8681.08,8636.31,8654.24,3800.35303
2020-01-22 15:00:00,8654.24,8710.45,8590.0,8692.7,5200.611276
2020-01-22 18:00:00,8692.7,8694.25,8636.72,8666.32,2350.452232
2020-01-22 21:00:00,8666.3,8686.22,8645.8,8682.36,1668.813287
2020-01-23 00:00:00,8682.77,8691.81,8568.26,8610.63,4419.014585000001
2020-01-23 03:00:00,8610.45,8615.77,8502.82,8562.88,5060.63152
2020-01-23 06:00:00,8562.88,8624.51,8502.0,8511.0,6385.867588
2020-01-23 09:00:00,8511.0,8518.17,8400.0,8423.0,9943.902227999999
2020-01-23 12:00:00,8422.98,8488.0,8326.0,8363.0,8520.056937
2020-01-23 15:00:00,8363.0,8400.0,8315.0,8325.75,5548.951387
2020-01-23 18:00:00,8325.28,8380.0,8306.39,8372.39,3737.338608
2020-01-23 21:00:00,8372.49,8445.0,8354.18,8404.52,4550.1817439999995
2020-01-24 00:00:00,8404.52,8419.86,8275.5,8300.76,4465.521889
2020-01-24 03:00:00,8301.58,8354.8,8284.82,8321.86,3898.5846540000002
2020-01-24 06:00:00,8320.94,8353.91,8307.5,8332.51,3095.81205
2020-01-24 09:00:00,8332.56,8418.0,8238.0,8412.77,10135.002384
2020-01-24 12:00:00,8413.42,8507.35,8369.72,8468.24,7861.293369
2020-01-24 15:00:00,8468.52,8528.02,8440.91,8472.41,5249.261834
2020-01-24 18:00:00,8472.85,8524.0,8462.1,8486.63,3519.249478
2020-01-24 21:00:00,8486.63,8516.67,8413.36,8439.0,3462.803871
2020-01-25 00:00:00,8438.99,8451.26,8254.9,8325.17,6067.9436000000005
2020-01-25 03:00:00,8325.56,8349.0,8282.25,8330.01,2636.060105
2020-01-25 06:00:00,8330.0,8382.97,8306.65,8362.46,3099.384315
2020-01-25 09:00:00,8362.46,8370.61,8311.0,8316.44,3056.7115080000003
2020-01-25 12:00:00,8316.44,8358.94,8286.87,8316.7,3290.370016
2020-01-25 15:00:00,8317.5,8362.75,8309.0,8339.84,2078.783128
2020-01-25 18:00:00,8337.38,8375.0,8325.0,8368.25,1850.9443729999998
2020-01-25 21:00:00,8368.98,8420.0,8340.0,8340.58,3440.960887
2020-01-26 00:00:00,8340.01,8353.07,8293.66,8324.69,2528.206286
2020-01-26 03:00:00,8324.77,8395.0,8322.74,8377.28,2182.571469
2020-01-26 06:00:00,8378.21,8477.77,8343.2,8417.97,4700.7197909999995
2020-01-26 09:00:00,8417.2,8482.8,8392.96,8479.15,3896.841567
2020-01-26 12:00:00,8479.15,8488.0,8436.0,8454.48,3087.141435
2020-01-26 15:00:00,8454.48,8595.59,8450.0,8578.86,6700.373488
2020-01-26 18:00:00,8578.85,8618.0,8544.01,8568.23,4617.425174
2020-01-26 21:00:00,8569.83,8618.13,8550.55,8615.0,3417.205954
2020-01-27 00:00:00,8614.39,8704.0,8614.39,8655.49,6994.594021999999
2020-01-27 03:00:00,8656.14,8686.86,8630.84,8653.3,3491.719873
2020-01-27 06:00:00,8653.36,8675.0,8535.0,8609.86,4214.661287
2020-01-27 09:00:00,8609.24,8750.0,8593.99,8735.67,7184.410215
2020-01-27 12:00:00,8735.67,8785.0,8700.41,8756.47,7914.302438
2020-01-27 15:00:00,8756.44,8814.08,8749.2,8767.06,7305.570318
2020-01-27 18:00:00,8767.29,8988.0,8763.0,8986.71,10536.742287000001
2020-01-27 21:00:00,8986.44,9000.0,8890.1,8907.57,6331.542555999999
2020-01-28 00:00:00,8907.57,9166.0,8907.56,9119.79,10741.472372
2020-01-28 03:00:00,9119.74,9136.76,8930.67,9059.1,7980.527805
2020-01-28 06:00:00,9058.12,9078.03,8962.35,8988.5,6042.527559
2020-01-28 09:00:00,8988.57,9117.47,8942.0,9082.13,7978.136702
2020-01-28 12:00:00,9081.34,9188.0,9015.0,9033.93,12205.348006
2020-01-28 15:00:00,9035.43,9066.06,8862.4,8983.03,13018.273619
2020-01-28 18:00:00,8983.05,9090.0,8965.38,9061.5,5487.131087
2020-01-28 21:00:00,9061.5,9400.0,9038.69,9374.21,11131.436615
2020-01-29 00:00:00,9375.34,9420.82,9261.32,9323.11,8824.06303
2020-01-29 03:00:00,9324.05,9379.93,9308.01,9355.07,4297.469172
2020-01-29 06:00:00,9354.95,9393.04,9317.08,9387.11,6062.196654
2020-01-29 09:00:00,9387.52,9434.94,9216.0,9303.15,11991.555933
2020-01-29 12:00:00,9303.16,9351.5,9250.05,9329.08,5955.590085
2020-01-29 15:00:00,9329.48,9375.0,9265.0,9343.81,5422.596965999999
2020-01-29 18:00:00,9343.81,9415.0,9322.26,9386.46,5491.6248510000005
2020-01-29 21:00:00,9386.3,9449.24,9288.75,9301.53,5818.968430999999
2020-01-30 00:00:00,9301.57,9333.97,9204.44,9252.0,5991.5958980000005
2020-01-30 03:00:00,9252.01,9360.0,9247.82,9318.0,3937.90954
2020-01-30 06:00:00,9318.0,9408.36,9305.0,9374.02,5667.95409
2020-01-30 09:00:00,9374.03,9391.65,9315.0,9338.21,4947.38998
2020-01-30 12:00:00,9338.21,9412.35,9306.0,9349.82,7163.42805
2020-01-30 15:00:00,9349.82,9523.4,9220.0,9468.5,18999.498977000003
2020-01-30 18:00:00,9468.5,9578.0,9458.02,9575.38,9286.488178
2020-01-30 21:00:00,9575.22,9578.0,9466.66,9513.21,4632.4795460000005
2020-01-31 00:00:00,9511.52,9530.22,9390.07,9444.35,4558.9393789999995
2020-01-31 03:00:00,9444.34,9474.94,9330.0,9345.53,5265.144598
2020-01-31 06:00:00,9345.53,9409.51,9320.0,9378.3,5746.090375
2020-01-31 09:00:00,9378.3,9414.94,9270.4,9328.41,7897.813744
2020-01-31 12:00:00,9328.39,9332.23,9210.01,9263.18,9284.232508
2020-01-31 15:00:00,9264.04,9367.5,9256.24,9282.5,6210.68369
2020-01-31 18:00:00,9282.63,9339.97,9276.29,9321.0,2612.676394
2020-01-31 21:00:00,9321.0,9430.0,9315.34,9352.89,3976.441664
2020-02-01 00:00:00,9351.71,9464.53,9341.17,9441.88,3520.5167539999998
2020-02-01 03:00:00,9441.42,9457.14,9377.77,9381.12,2939.556926
2020-02-01 06:00:00,9381.13,9454.77,9378.85,9384.62,3576.930108
2020-02-01 09:00:00,9385.1,9407.0,9321.41,9354.66,4021.50002
2020-02-01 12:00:00,9354.65,9372.0,9281.0,9350.08,4623.735426
2020-02-01 15:00:00,9350.0,9420.98,9327.0,9381.48,4614.395852
2020-02-01 18:00:00,9381.51,9403.0,9351.43,9381.43,2818.9843659999997
2020-02-01 21:00:00,9381.43,9409.99,9350.0,9384.61,2462.447902
2020-02-02 00:00:00,9384.41,9387.03,9245.75,9267.83,5293.8116709999995
2020-02-02 03:00:00,9267.91,9346.08,9120.0,9311.43,8948.790395
2020-02-02 06:00:00,9310.72,9400.0,9289.08,9368.06,5029.165795
2020-02-02 09:00:00,9367.16,9450.0,9352.5,9435.54,6328.652906
2020-02-02 12:00:00,9435.79,9477.03,9363.89,9446.86,6792.293861
2020-02-02 15:00:00,9446.86,9464.52,9395.46,9430.73,4851.2887869999995
2020-02-02 18:00:00,9430.73,9460.0,9419.38,9437.55,3467.170791
2020-02-02 21:00:00,9437.97,9447.24,9322.0,9331.51,4979.738334
2020-02-03 00:00:00,9331.59,9618.79,9288.0,9376.3,14585.740127000001
2020-02-03 03:00:00,9377.57,9426.6,9333.83,9401.8,3860.57457
2020-02-03 06:00:00,9401.98,9418.0,9346.09,9371.22,3898.741106
2020-02-03 09:00:00,9371.87,9398.99,9303.2,9351.48,6295.922818
2020-02-03 12:00:00,9352.0,9373.97,9302.01,9353.61,5854.5321220000005
2020-02-03 15:00:00,9355.13,9355.13,9234.0,9293.37,10360.083966
2020-02-03 18:00:00,9293.29,9344.02,9259.47,9318.04,3171.121784
